GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
snack-project,com.snack.services,ProductService,138,0,6,0,28,0,10,0,7,0
snack-project,com.snack.facade,ProductFacade,42,0,0,0,13,0,8,0,8,0
snack-project,com.snack.repositories,ProductRepository,4,94,4,4,0,15,4,11,0,11
snack-project,com.snack.entities,Product,41,39,0,0,7,16,3,8,3,8
snack-project,com.snack,App,232,0,8,0,77,0,19,0,13,0
snack-project,com.snack.applications,ProductApplication,61,0,0,0,18,0,8,0,8,0
